date,co2_ppm
1958-03,312.19
1958-04,312.12
1958-05,312.34
1958-06,313.42
1958-07,315.03
1958-08,316.69
1958-09,318.06
1958-10,318.33
1958-11,318.33
1958-12,317.68
1959-01,315.80
1959-02,314.74
1959-03,313.48
1959-04,312.81
1959-05,313.52
1959-06,314.52
1959-07,316.54
1959-08,317.65
1959-09,319.45
1959-10,319.75
1959-11,318.78
1959-12,318.47
1960-01,317.25
1960-02,315.25
1960-03,314.68
1960-04,313.67
1960-05,314.67
1960-06,315.38
1960-07,317.50
1960-08,318.52
1960-09,319.49
1960-10,320.74
1960-11,320.90
1960-12,319.17
1961-01,318.11
1961-02,316.52
1961-03,315.40
1961-04,315.32
1961-05,316.06
1961-06,316.53
1961-07,318.57
1961-08,320.10
1961-09,320.85
1961-10,322.10
1961-11,321.87
1961-12,320.13
1962-01,319.39
1962-02,317.56
1962-03,316.50
1962-04,316.60
1962-05,316.77
1962-06,317.98
1962-07,319.87
1962-08,321.40
1962-09,322.49
1962-10,322.41
1962-11,322.06
1962-12,321.72
1963-01,319.80
1963-02,318.66
1963-03,317.35
1963-04,317.26
1963-05,317.48
1963-06,319.39
1963-07,320.32
1963-08,322.14
1963-09,323.31
1963-10,324.15
1963-11,323.18
1963-12,322.52
1964-01,321.07
1964-02,319.85
1964-03,318.83
1964-04,318.28
1964-05,318.95
1964-06,319.99
1964-07,321.79
1964-08,323.24
1964-09,324.29
1964-10,324.94
1964-11,324.73
1964-12,324.20
1965-01,322.11
1965-02,320.90
1965-03,320.18
1965-04,318.99
1965-05,319.57
1965-06,320.90
1965-07,322.76
1965-08,324.99
1965-09,325.67
1965-10,326.37
1965-11,325.71
1965-12,324.14
1966-01,322.78
1966-02,322.20
1966-03,320.99
1966-04,320.31
1966-05,321.41
1966-06,321.94
1966-07,324.21
1966-08,325.88
1966-09,326.52
1966-10,326.93
1966-11,327.11
1966-12,325.63
1967-01,324.71
1967-02,322.79
1967-03,322.29
1967-04,321.81
1967-05,322.17
1967-06,323.25
1967-07,325.13
1967-08,326.20
1967-09,327.80
1967-10,328.26
1967-11,328.23
1967-12,326.74
1968-01,326.08
1968-02,324.17
1968-03,322.97
1968-04,323.29
1968-05,323.86
1968-06,324.60
1968-07,326.02
1968-08,327.84
1968-09,328.86
1968-10,329.46
1968-11,329.62
1968-12,328.33
1969-01,326.87
1969-02,325.52
1969-03,324.42
1969-04,324.34
1969-05,324.85
1969-06,325.73
1969-07,327.45
1969-08,329.63
1969-09,330.33
1969-10,330.68
1969-11,330.93
1969-12,329.43
1970-01,327.75
1970-02,326.79
1970-03,325.40
1970-04,325.20
1970-05,325.91
1970-06,326.99
1970-07,328.44
1970-08,330.09
1970-09,331.28
1970-10,332.22
1970-11,331.45
1970-12,330.49
1971-01,329.74
1971-02,327.70
1971-03,327.21
1971-04,326.87
1971-05,327.00
1971-06,327.89
1971-07,329.96
1971-08,331.61
1971-09,332.89
1971-10,333.17
1971-11,333.15
1971-12,332.20
1972-01,330.20
1972-02,329.42
1972-03,328.11
1972-04,327.63
1972-05,328.19
1972-06,329.95
1972-07,331.33
1972-08,332.24
1972-09,333.91
1972-10,334.36
1972-11,334.05
1972-12,332.97
1973-01,331.34
1973-02,330.52
1973-03,329.08
1973-04,328.92
1973-05,329.37
1973-06,330.54
1973-07,332.52
1973-08,334.03
1973-09,334.97
1973-10,335.41
1973-11,335.23
1973-12,334.60
1974-01,333.00
1974-02,331.63
1974-03,330.50
1974-04,330.22
1974-05,330.84
1974-06,331.53
1974-07,334.00
1974-08,335.01
1974-09,336.27
1974-10,337.26
1974-11,336.68
1974-12,335.65
1975-01,334.10
1975-02,332.46
1975-03,331.90
1975-04,331.86
1975-05,331.85
1975-06,333.62
1975-07,334.61
1975-08,336.31
1975-09,337.83
1975-10,338.21
1975-11,338.09
1975-12,336.74
1976-01,335.28
1976-02,333.68
1976-03,332.85
1976-04,332.59
1976-05,333.02
1976-06,334.66
1976-07,336.02
1976-08,337.30
1976-09,339.63
1976-10,339.31
1976-11,338.91
1976-12,338.55
1977-01,337.14
1977-02,335.17
1977-03,334.10
1977-04,333.93
1977-05,334.97
1977-06,335.82
1977-07,337.31
1977-08,339.11
1977-09,340.63
1977-10,340.50
1977-11,340.46
1977-12,339.22
1978-01,338.72
1978-02,337.24
1978-03,336.04
1978-04,335.48
1978-05,336.19
1978-06,336.71
1978-07,338.92
1978-08,340.13
1978-09,341.34
1978-10,342.01
1978-11,341.81
1978-12,341.05
1979-01,339.70
1979-02,338.20
1979-03,336.91
1979-04,337.03
1979-05,337.35
1979-06,338.88
1979-07,339.97
1979-08,341.12
1979-09,342.91
1979-10,344.08
1979-11,343.37
1979-12,342.22
1980-01,341.11
1980-02,339.63
1980-03,338.63
1980-04,338.10
1980-05,338.76
1980-06,340.01
1980-07,341.41
1980-08,342.91
1980-09,344.44
1980-10,345.16
1980-11,344.79
1980-12,343.77
1981-01,342.39
1981-02,341.53
1981-03,339.96
1981-04,339.87
1981-05,340.62
1981-06,341.36
1981-07,343.03
1981-08,344.84
1981-09,346.21
1981-10,346.39
1981-11,346.12
1981-12,345.07
1982-01,343.36
1982-02,342.56
1982-03,341.23
1982-04,340.58
1982-05,341.50
1982-06,342.32
1982-07,344.12
1982-08,345.99
1982-09,346.97
1982-10,347.99
1982-11,347.07
1982-12,346.52
1983-01,345.22
1983-02,344.06
1983-03,342.95
1983-04,342.49
1983-05,342.97
1983-06,344.16
1983-07,346.08
1983-08,347.25
1983-09,348.76
1983-10,349.13
1983-11,348.93
1983-12,347.82
1984-01,347.04
1984-02,344.96
1984-03,344.21
1984-04,343.94
1984-05,344.54
1984-06,345.72
1984-07,347.34
1984-08,349.10
1984-09,349.69
1984-10,350.60
1984-11,350.00
1984-12,349.39
1985-01,347.66
1985-02,346.34
1985-03,345.59
1985-04,345.67
1985-05,345.99
1985-06,347.14
1985-07,349.04
1985-08,350.07
1985-09,351.01
1985-10,351.95
1985-11,351.70
1985-12,351.11
1986-01,349.96
1986-02,347.71
1986-03,347.69
1986-04,347.18
1986-05,347.53
1986-06,348.63
1986-07,350.77
1986-08,351.80
1986-09,352.89
1986-10,353.57
1986-11,352.91
1986-12,352.40
1987-01,350.88
1987-02,349.61
1987-03,348.64
1987-04,348.01
1987-05,349.13
1987-06,349.77
1987-07,351.87
1987-08,352.88
1987-09,354.59
1987-10,354.82
1987-11,354.76
1987-12,353.61
1988-01,351.86
1988-02,350.75
1988-03,350.07
1988-04,349.94
1988-05,349.94
1988-06,351.00
1988-07,352.94
1988-08,354.73
1988-09,355.85
1988-10,356.34
1988-11,356.48
1988-12,355.53
1989-01,354.10
1989-02,352.31
1989-03,351.59
1989-04,351.25
1989-05,351.47
1989-06,353.28
1989-07,354.70
1989-08,356.19
1989-09,357.89
1989-10,358.26
1989-11,358.01
1989-12,357.12
1990-01,355.63
1990-02,353.76
1990-03,353.01
1990-04,353.09
1990-05,353.18
1990-06,354.60
1990-07,356.32
1990-08,358.21
1990-09,359.40
1990-10,359.84
1990-11,359.29
1990-12,358.60
1991-01,357.13
1991-02,355.59
1991-03,355.00
1991-04,354.51
1991-05,354.73
1991-06,356.47
1991-07,357.72
1991-08,359.56
1991-09,360.26
1991-10,361.17
1991-11,360.67
1991-12,359.69
1992-01,358.09
1992-02,357.73
1992-03,356.19
1992-04,356.02
1992-05,356.77
1992-06,357.69
1992-07,359.48
1992-08,360.65
1992-09,362.27
1992-10,362.65
1992-11,362.61
1992-12,361.56
1993-01,359.80
1993-02,358.32
1993-03,357.56
1993-04,357.73
1993-05,358.19
1993-06,359.41
1993-07,360.44
1993-08,361.91
1993-09,363.66
1993-10,364.26
1993-11,363.93
1993-12,363.20
1994-01,361.71
1994-02,360.09
1994-03,359.20
1994-04,359.19
1994-05,359.71
1994-06,360.90
1994-07,363.12
1994-08,364.12
1994-09,365.45
1994-10,365.71
1994-11,365.60
1994-12,364.86
1995-01,363.51
1995-02,361.96
1995-03,361.14
1995-04,360.79
1995-05,360.84
1995-06,361.73
1995-07,364.76
1995-08,366.02
1995-09,367.04
1995-10,367.16
1995-11,367.01
1995-12,366.70
1996-01,364.30
1996-02,363.56
1996-03,362.89
1996-04,362.45
1996-05,363.14
1996-06,364.15
1996-07,366.42
1996-08,367.20
1996-09,368.36
1996-10,369.31
1996-11,369.33
1996-12,368.00
1997-01,366.91
1997-02,365.16
1997-03,364.03
1997-04,364.42
1997-05,365.00
1997-06,366.23
1997-07,367.37
1997-08,368.83
1997-09,370.07
