tid_Ma,saltmengde_Eg
0,0.0
5,277.9
10,552.4
15,792.2
20,1036.2
25,1275.7
30,1537.1
35,1785.9
40,2050.9
45,2263.9
50,2545.3
55,2793.3
60,3056.9
65,3304.2
70,3546.6
75,3805.9
80,4072.4
85,4318.3
90,4565.3
95,4829.0
100,5061.6
105,5281.3
110,5539.2
115,5775.8
120,5987.4
125,6221.1
130,6461.7
135,6687.9
140,6908.0
145,7158.8
150,7426.7
155,7672.0
160,7907.2
165,8164.9
170,8429.2
175,8673.2
180,8934.1
185,9205.0
190,9450.8
195,9684.6
200,9941.5
205,10196.5
210,10468.4
215,10692.7
220,10929.5
225,11162.7
230,11378.1
235,11630.6
240,11891.1
245,12126.4
250,12404.1
255,12670.5
260,12933.1
265,13191.1
270,13460.2
275,13683.6
280,13945.9
285,14207.9
290,14422.6
295,14679.5
300,14924.5
305,15190.1
310,15431.3
315,15681.0
320,15937.8
325,16170.3
330,16432.3
335,16680.2
340,16940.0
345,17179.6
350,17451.3
355,17713.4
360,17959.9
365,18222.5
370,18497.7
375,18783.5
380,19002.0
385,19269.7
390,19529.0
395,19777.1
400,20007.0
405,20282.1
410,20506.9
415,20768.2
420,21044.3
425,21262.3
430,21506.2
435,21730.1
440,21984.9
445,22265.2
450,22555.7
455,22770.1
460,23008.6
465,23272.7
470,23554.3
475,23812.7
480,24047.8
485,24303.7
490,24553.4
495,24799.3
500,25034.6
505,25292.4
510,25548.5
515,25796.7
520,26042.3
525,26266.6
530,26506.8
535,26781.0
540,27027.1
545,27248.4
550,27525.0
555,27785.6
560,28077.8
565,28329.1
570,28569.8
575,28790.9
580,29067.4
585,29368.7
590,29602.3
595,29839.4
600,30101.3
605,30334.7
610,30579.3
615,30822.3
620,31076.1
625,31348.0
630,31598.5
635,31866.8
640,32108.5
645,32365.0
650,32572.2
655,32793.2
660,33059.2
665,33297.4
670,33559.0
675,33819.8
680,34096.2
685,34362.5
690,34632.8
695,34880.6
700,35116.6
