age_kyr_BP,co2_ppm
0,245.2
1,251.7
2,254.8
3,260.4
4,264.7
5,267.4
6,266.2
7,261.1
8,265.4
9,264.3
10,264.4
11,260.3
12,254.0
13,251.3
14,257.5
15,252.3
16,254.8
17,255.7
18,247.4
19,252.3
20,254.3
21,256.8
22,259.0
23,260.3
24,262.4
25,259.3
26,264.7
27,263.8
28,266.7
29,264.6
30,267.1
31,266.4
32,263.4
33,261.7
34,259.4
35,256.3
36,255.9
37,254.1
38,256.3
39,255.3
40,257.4
41,252.5
42,260.1
43,256.1
44,257.0
45,259.0
46,257.8
47,259.5
48,255.1
49,250.9
50,247.8
51,249.6
52,240.2
53,230.1
54,226.7
55,214.7
56,217.4
57,200.3
58,199.5
59,193.6
60,182.4
61,183.5
62,182.5
63,180.0
64,180.0
65,180.0
66,180.0
67,181.0
68,182.0
69,186.9
70,185.0
71,192.8
72,191.3
73,191.5
74,197.4
75,202.4
76,200.8
77,196.6
78,200.3
79,196.7
80,197.6
81,198.4
82,191.6
83,200.0
84,197.7
85,200.6
86,200.7
87,203.4
88,208.3
89,217.0
90,222.9
91,221.1
92,227.4
93,225.8
94,222.7
95,230.0
96,231.3
97,228.4
98,229.7
99,229.2
100,223.1
101,219.5
102,221.5
103,220.1
104,218.8
105,222.7
106,225.7
107,221.0
108,227.0
109,231.5
110,235.5
111,241.9
112,243.6
113,253.3
114,263.6
115,266.2
116,267.8
117,276.7
118,283.1
119,284.0
120,283.6
121,291.4
122,283.4
123,288.2
124,285.4
125,280.0
126,284.9
127,279.8
128,272.6
129,275.4
130,270.0
131,263.5
132,265.4
133,266.8
134,266.7
135,264.2
136,262.7
137,262.8
138,259.2
139,261.4
140,255.9
141,253.3
142,250.4
143,241.5
144,237.8
145,239.5
146,230.6
147,223.5
148,220.2
149,213.1
150,211.2
151,205.0
152,205.4
153,198.3
154,206.6
155,201.5
156,199.6
157,205.6
158,207.7
159,212.0
160,211.0
161,218.2
162,230.1
163,216.9
164,222.5
165,220.4
166,220.9
167,212.8
168,212.0
169,213.3
170,207.8
171,208.4
172,196.9
173,195.3
174,199.5
175,185.0
176,181.9
177,182.6
178,181.4
179,183.8
180,182.2
181,180.7
182,185.3
183,194.7
184,192.9
185,183.1
186,193.3
187,193.2
188,199.5
189,198.7
190,206.3
191,204.4
192,205.2
193,204.2
194,204.8
195,207.5
196,212.4
197,212.9
198,213.6
199,222.6
200,224.2
201,228.9
202,232.7
203,239.8
204,246.1
205,246.1
206,263.7
207,268.0
208,270.5
209,278.2
210,279.2
211,280.7
212,272.7
213,278.8
214,279.4
215,280.2
216,277.7
217,272.9
218,261.4
219,254.6
220,259.5
221,255.0
222,255.5
223,250.8
224,251.1
225,245.9
226,252.5
227,251.1
228,255.1
229,257.4
230,257.6
231,260.7
232,261.1
233,264.5
234,264.1
235,260.8
236,259.9
237,265.5
238,258.1
239,259.2
240,255.0
241,249.7
242,246.7
243,247.2
244,245.8
245,245.5
246,238.9
247,240.3
248,241.6
249,246.6
250,234.8
251,243.1
252,239.7
253,241.7
254,237.5
255,237.7
256,238.2
257,230.6
258,226.1
259,220.3
260,210.8
261,208.2
262,199.2
263,190.8
264,186.8
265,180.6
266,180.0
267,180.0
268,180.0
269,180.0
270,180.0
271,180.0
272,180.0
273,180.0
274,180.0
275,180.3
276,188.2
277,190.0
278,189.4
279,197.5
280,196.6
281,204.1
282,202.1
283,203.5
284,208.7
285,208.8
286,204.5
287,212.2
288,216.9
289,206.6
290,217.6
291,211.6
292,214.1
293,217.4
294,216.5
295,227.8
296,228.7
297,228.4
298,233.0
299,232.2
300,238.2
301,243.9
302,237.2
303,241.6
304,243.2
305,245.3
306,245.0
307,238.1
308,235.7
309,237.7
310,234.1
311,233.6
312,237.8
313,240.5
314,238.0
315,239.4
316,245.2
317,242.3
318,252.9
319,255.3
320,271.4
321,272.1
322,275.7
323,279.6
324,276.7
325,289.5
326,294.4
327,288.3
328,292.4
329,291.3
330,282.3
331,286.7
332,284.3
333,276.9
334,271.7
335,270.0
336,258.8
337,259.9
338,259.3
339,249.3
340,253.3
341,246.8
342,239.8
343,243.9
344,239.5
345,241.4
346,234.7
347,238.9
348,230.5
349,230.4
350,223.6
351,220.2
352,220.2
353,212.7
354,206.2
355,199.3
356,202.6
357,198.1
358,192.4
359,192.4
360,187.9
361,188.2
362,190.0
363,195.5
364,198.0
365,197.9
366,205.7
367,209.1
368,210.4
369,215.5
370,213.5
371,215.1
372,217.0
373,214.8
374,215.6
375,207.0
376,211.9
377,201.7
378,199.7
379,192.2
380,194.4
381,193.2
382,190.0
383,187.5
384,180.0
385,181.6
386,183.5
387,183.8
388,192.4
389,192.6
390,195.5
391,200.7
392,200.1
393,203.9
394,207.4
395,214.7
396,217.0
397,220.1
398,223.7
399,218.3
400,222.5
401,226.5
402,224.1
403,228.9
404,236.3
405,239.9
406,243.7
407,245.0
408,249.1
409,258.3
410,259.4
411,267.1
412,275.4
413,275.2
414,278.8
415,284.0
416,288.3
417,289.3
418,288.6
419,288.8
420,280.3
