year,mean_temp_C
1938,5.6
1939,4.8
1940,5.7
1941,6.5
1942,5.8
1943,5.2
1944,4.9
1945,5.2
1946,6.2
1947,6.2
1948,5.3
1949,4.3
1950,6.3
1951,5.3
1952,6.5
1953,5.5
1954,5.3
1955,6.2
1956,7.9
1957,6.7
1958,6.2
1959,6.4
1960,4.9
1961,5.4
1962,4.4
1963,7.6
1964,7.4
1965,6.6
1966,6.4
1967,5.2
1968,6.2
1969,7.7
1970,6.5
1971,6.0
1972,5.1
1973,7.5
1974,6.5
1975,5.2
1976,5.9
1977,5.6
1978,6.5
1979,6.8
1980,6.3
1981,7.2
1982,6.7
1983,7.5
1984,6.5
1985,9.0
1986,6.3
1987,6.1
1988,6.0
1989,6.7
1990,5.6
1991,7.1
1992,5.5
1993,7.1
1994,5.9
1995,6.7
1996,7.4
1997,8.7
1998,6.2
1999,7.0
2000,6.5
2001,6.5
2002,6.6
2003,7.8
2004,6.8
2005,8.9
2006,7.5
2007,6.5
2008,7.0
2009,6.7
2010,7.9
2011,6.1
2012,6.3
2013,6.9
2014,7.9
2015,8.3
2016,8.5
2017,7.9
2018,7.4
2019,8.1
2020,6.7
2021,6.2
2022,7.9
2023,6.8
