tid_s,oksygen_mg/L
0,6.66
1,6.83
2,6.82
3,6.84
4,6.83
5,6.82
6,6.77
7,6.86
8,6.79
9,6.78
10,6.78
11,6.83
12,6.82
13,6.82
14,6.82
15,6.91
16,6.78
17,6.78
18,6.76
19,6.83
20,6.86
21,6.80
22,6.76
23,6.76
24,6.83
25,6.84
26,6.83
27,6.77
28,6.81
29,6.81
30,6.81
31,6.85
32,6.81
33,6.84
34,6.81
35,6.82
36,6.83
37,6.73
38,6.79
39,6.78
40,6.77
41,6.79
42,6.88
43,6.76
44,6.85
45,6.72
46,6.79
47,6.81
48,6.83
49,6.84
50,6.84
51,6.79
52,6.78
53,6.85
54,6.79
55,6.74
56,6.75
57,6.76
58,6.83
59,6.81
60,6.84
61,6.78
62,6.81
63,6.83
64,6.79
65,6.83
66,6.77
67,6.79
68,6.78
69,6.74
70,6.83
71,6.78
72,6.80
73,6.83
74,6.83
75,6.84
76,6.80
77,6.78
78,6.80
79,6.72
80,6.73
81,6.74
82,6.75
83,6.82
84,6.76
85,6.79
86,6.87
87,6.79
88,6.84
89,6.76
90,6.79
91,6.76
92,6.79
93,6.85
94,6.72
95,6.83
96,6.82
97,6.78
98,6.73
99,6.81
100,6.78
101,6.82
102,6.81
103,6.89
104,6.79
105,6.75
106,6.81
107,6.82
108,6.87
109,6.85
110,6.82
111,6.88
112,6.75
113,6.77
114,6.76
115,6.79
116,6.74
117,6.84
118,6.80
119,6.73
120,6.76
121,6.82
122,6.85
123,6.91
124,6.95
125,6.83
126,6.76
127,6.70
128,6.82
129,6.77
130,6.79
131,6.78
132,6.80
133,6.86
134,6.82
135,6.80
136,6.76
137,6.72
138,6.78
139,6.80
140,6.90
141,6.81
142,6.86
143,6.78
144,6.75
145,6.76
146,6.77
147,6.91
148,6.77
149,6.85
150,6.76
151,6.85
152,6.83
153,6.80
154,6.81
155,6.78
156,6.83
157,6.79
158,6.75
159,6.74
160,6.82
161,6.89
162,6.82
163,6.80
164,6.82
165,6.87
166,6.82
167,6.79
168,6.86
169,6.83
170,6.89
171,6.82
172,6.75
173,6.74
174,6.89
175,6.90
176,6.80
177,6.79
178,6.88
179,6.75
180,6.76
181,6.84
182,6.79
183,6.81
184,6.80
185,6.83
186,6.88
187,6.81
188,6.84
189,6.71
190,6.81
191,6.77
192,6.75
193,6.77
194,6.79
195,6.86
196,6.74
197,6.81
198,6.79
199,6.79
200,6.86
201,6.84
202,6.88
203,6.80
204,6.78
205,6.80
206,6.82
207,6.82
208,6.76
209,6.82
210,6.82
211,6.94
212,6.90
213,6.77
214,6.80
215,6.74
216,6.78
217,6.83
218,6.87
219,6.77
220,6.78
221,6.70
222,6.80
223,6.76
224,6.78
225,6.77
226,6.81
227,6.72
228,6.74
229,6.92
230,6.75
231,6.76
232,6.90
233,6.96
234,6.75
235,6.79
236,6.83
237,6.90
238,6.76
239,6.80
240,6.85
241,6.83
242,6.79
243,6.81
244,6.74
245,6.80
246,6.80
247,6.82
248,6.78
249,6.84
250,6.86
251,6.82
252,6.83
253,6.81
254,6.81
255,6.78
256,6.83
257,6.81
258,6.92
259,6.89
260,6.83
261,6.77
262,6.76
263,6.87
264,6.83
265,6.84
266,6.73
267,6.86
268,6.84
269,6.76
270,6.79
271,6.83
272,6.82
273,6.80
274,6.81
275,6.80
276,6.82
277,6.89
278,6.68
279,6.80
280,6.82
281,6.83
282,6.79
283,6.73
284,6.83
285,6.90
286,6.74
287,6.86
288,6.80
289,6.81
290,6.76
291,6.80
292,6.88
293,6.84
294,6.90
295,6.87
296,6.84
297,6.90
298,6.84
299,6.85
300,6.80
301,6.82
302,6.78
303,6.86
304,6.75
305,6.85
306,6.80
307,6.87
308,6.85
309,6.90
310,6.85
311,6.74
312,6.81
313,6.76
314,6.79
315,6.89
316,6.85
317,6.78
318,6.76
319,6.82
320,6.75
321,6.78
322,6.83
323,6.87
324,6.84
325,6.70
326,6.83
327,6.82
328,6.83
329,6.89
330,6.71
331,6.78
332,6.84
333,6.74
334,6.89
335,6.83
336,6.86
337,6.79
338,6.86
339,6.87
340,6.83
341,6.83
342,6.83
343,6.77
344,6.81
345,6.81
346,6.83
347,6.86
348,6.76
349,6.81
350,6.89
351,6.78
352,6.77
353,6.82
354,6.86
355,6.82
356,6.88
357,6.86
358,6.86
359,6.84
360,6.93
361,6.80
362,6.71
363,6.89
364,6.79
365,6.82
366,6.88
367,6.73
368,6.75
369,6.73
370,6.78
371,6.84
372,6.84
373,6.83
374,6.74
375,6.70
376,6.82
377,6.79
378,6.84
379,6.85
380,6.82
381,6.85
382,6.83
383,6.84
384,6.78
385,6.81
386,6.82
387,6.86
388,6.80
389,6.84
390,6.80
391,6.81
392,6.86
393,6.72
394,6.75
395,6.74
396,6.70
397,6.78
398,6.85
399,6.80
400,6.82
401,6.87
402,6.88
403,6.81
404,6.88
405,6.82
406,6.77
407,6.79
408,6.74
409,6.77
410,6.80
411,6.86
412,6.90
413,6.75
414,6.83
415,6.76
416,6.84
417,6.81
418,6.72
419,6.86
420,6.78
421,6.79
422,6.76
423,6.78
424,6.84
425,6.81
426,6.83
427,6.83
428,6.88
429,6.80
430,6.74
431,6.87
432,6.80
433,6.87
434,6.83
435,6.81
436,6.83
437,6.91
438,6.92
439,6.82
440,6.82
441,6.87
442,6.77
443,6.83
444,6.81
445,6.83
446,6.77
447,6.74
448,6.71
449,6.76
450,6.79
451,6.80
452,6.91
453,6.87
454,6.77
455,6.83
456,6.79
457,6.80
458,6.82
459,6.85
460,6.80
461,6.87
462,6.76
463,6.82
464,6.94
465,6.83
466,6.89
467,6.82
468,6.84
469,6.81
470,6.81
471,6.78
472,6.84
473,6.77
474,6.85
475,6.87
476,6.83
477,6.80
478,6.84
479,6.80
480,6.86
481,6.72
482,6.80
483,6.71
484,6.74
485,6.88
486,6.86
487,6.78
488,6.74
489,6.67
490,6.79
491,6.94
492,6.84
493,6.79
494,6.84
495,6.74
496,6.80
497,6.82
498,6.81
499,6.85
500,6.83
501,6.85
502,6.78
503,6.86
504,6.90
505,6.77
506,6.77
507,6.88
508,6.80
509,6.88
510,6.79
511,6.89
512,6.82
513,6.83
514,6.89
515,6.80
516,6.77
517,6.79
518,6.84
519,6.74
520,6.85
521,6.79
522,6.87
523,6.69
524,6.77
525,6.73
526,6.77
527,6.83
528,6.80
529,6.80
530,6.81
531,6.82
532,6.76
533,6.85
534,6.85
535,6.83
536,6.84
537,6.83
538,6.92
539,6.81
540,6.80
541,6.78
542,6.76
543,6.75
544,6.77
545,6.81
546,6.83
547,6.82
548,6.77
549,6.86
550,6.85
551,6.81
552,6.78
553,6.84
554,6.82
555,6.74
556,6.81
557,6.83
558,6.77
559,6.82
560,6.74
561,6.88
562,6.88
563,6.80
564,6.83
565,6.69
566,6.75
567,6.80
568,6.76
569,6.85
570,6.91
571,6.75
572,6.77
573,6.82
574,6.89
575,6.75
576,6.82
577,6.90
578,6.73
579,6.75
580,6.79
581,6.79
582,6.85
583,6.82
584,6.72
585,6.84
586,6.78
587,6.88
588,6.78
589,6.78
590,6.84
591,6.85
592,6.83
593,6.73
594,6.84
595,6.76
596,6.82
597,6.74
598,6.83
599,6.77
600,6.75
601,6.85
602,6.82
603,6.78
604,6.88
605,6.79
606,6.81
607,6.82
608,6.78
609,6.83
610,6.78
611,6.79
612,6.88
613,6.76
614,6.69
615,6.89
616,6.94
617,6.79
618,6.71
619,6.80
620,6.80
621,6.80
622,6.76
623,6.84
624,6.84
625,6.74
626,6.85
627,6.91
628,6.82
629,6.79
630,6.80
631,6.84
632,6.72
633,6.82
634,6.79
635,6.90
636,6.80
637,6.89
638,6.75
639,6.84
640,6.83
641,6.77
642,6.82
643,6.87
644,6.79
645,6.73
646,6.81
647,6.76
648,6.79
649,6.81
650,6.72
651,6.73
652,6.83
653,6.78
654,6.68
655,6.85
656,6.82
657,6.77
658,6.74
659,6.85
660,6.83
661,6.93
662,6.83
663,6.83
664,6.80
665,6.85
666,6.84
667,6.87
668,6.78
669,6.79
670,6.78
671,6.85
672,6.88
673,6.79
674,6.79
675,6.82
676,6.80
677,6.86
678,6.70
679,6.77
680,6.77
681,6.69
682,6.76
683,6.76
684,6.80
685,6.86
686,6.80
687,6.76
688,6.80
689,6.86
690,6.76
691,6.76
692,6.84
693,6.80
694,6.84
695,6.81
696,6.84
697,6.76
698,6.81
699,6.80
700,6.75
701,6.73
702,6.84
703,6.79
704,6.76
705,6.80
706,6.86
707,6.69
708,6.73
709,6.76
710,6.88
711,6.82
712,6.84
713,6.75
714,6.75
715,6.83
716,6.81
717,6.83
718,6.80
719,6.82
720,6.81
721,6.85
722,6.85
723,6.73
724,6.69
725,6.86
726,6.87
727,6.75
728,6.71
729,6.81
730,6.85
731,6.90
732,6.83
733,6.79
734,6.76
735,6.81
736,6.79
737,6.75
738,6.91
739,6.89
740,6.86
741,6.76
742,6.85
743,6.84
744,6.83
745,6.87
746,6.84
747,6.84
748,6.84
749,6.82
750,6.72
751,6.81
752,6.78
753,6.74
754,6.89
755,6.89
756,6.87
757,6.82
758,6.87
759,6.80
760,6.81
761,6.75
762,6.82
763,6.81
764,6.74
765,6.80
766,6.80
767,6.89
768,6.85
769,6.80
770,6.82
771,6.81
772,6.79
773,6.75
774,6.80
775,6.77
776,6.74
777,6.83
778,6.82
779,6.71
780,6.80
781,6.85
782,6.86
783,6.85
784,6.80
785,6.76
786,6.75
787,6.82
788,6.82
789,6.87
790,6.86
791,6.80
792,6.74
793,6.79
794,6.81
795,6.79
796,6.77
797,6.81
798,6.78
799,6.77
800,6.82
801,6.78
802,6.81
803,6.82
804,6.74
805,6.78
806,6.87
807,6.74
808,6.70
809,6.71
810,6.80
811,6.80
812,6.80
813,6.86
814,6.67
815,6.82
816,6.88
817,6.74
818,6.78
819,6.76
820,6.76
821,6.78
822,6.87
823,6.89
824,6.78
825,6.90
826,6.80
827,6.89
828,6.80
829,6.81
830,6.82
831,6.96
832,6.84
833,6.76
834,6.85
835,6.78
836,6.78
837,6.85
838,6.80
839,6.81
840,6.80
841,6.82
842,6.82
843,6.70
844,6.83
845,6.75
846,6.73
847,6.80
848,6.80
849,6.76
850,6.84
851,6.73
852,6.78
853,6.77
854,6.80
855,6.81
856,6.75
857,6.83
858,6.80
859,6.70
860,6.70
861,6.80
862,6.79
863,6.79
864,6.80
865,6.81
866,6.85
867,6.74
868,6.74
869,6.74
870,6.81
871,6.86
872,6.78
873,6.67
874,6.71
875,6.76
876,6.77
877,6.78
878,6.80
879,6.78
880,6.85
881,6.76
882,6.75
883,6.82
884,6.72
885,6.82
886,6.80
887,6.79
888,6.88
889,6.77
890,6.90
891,6.79
892,6.73
893,6.80
894,6.74
895,6.76
896,6.82
897,6.82
898,6.77
899,6.85
900,6.85
901,6.87
902,6.82
903,6.86
904,6.70
905,6.78
906,6.75
907,6.80
908,6.77
909,6.79
910,6.89
911,6.79
912,6.82
913,6.78
914,6.80
915,6.80
916,6.82
917,6.85
918,6.88
919,6.81
920,6.82
921,6.74
922,6.79
923,6.84
924,6.84
925,6.81
